name,latitude,longitude
Amapa -  Amapa Airport (Brazil),0.03625939,-0.887643042
Campinas -  Amarais Airport (Brazil) (CPQ),-0.398968296,-0.822193196
Armari Air Force Base -  Amari Air Base (Estonia),1.034287345,0.42251803
Merzifon -  Amasya Merzifon Airport (Turkey) (MZH),0.712607444,0.619975839
Amata -  Amata Airport (Australia) (AMT),-0.455675784,2.289994164
Amatopo -  Amatopo Airstrip (Suriname),0.061922275,-1.005902328
 -  Ambala Air Force Station (India),0.530023319,1.340704402
Antsohihy -  Ambalabe Airport (Madagascar) (WAI),-0.260033113,0.837651581
Ambanja -  Ambanja Airport (Madagascar),-0.238162481,0.845776555
Ambatondrazaka -  Ambatondrazaka Airport (Madagascar) (WAM),-0.310587938,0.845482572
Amberieu -  Amberieu Air Base (BA 278) (France),0.802629817,0.092998822
Ambilobe -  Ambilobe Airport (Madagascar) (AMB),-0.230181008,0.855001876
Ambler -  Ambler Airport (United States) (ABL),1.171225884,-2.755124205
Mahajanga -  Amborovy Airport (Madagascar) (MJN),-0.273437972,0.80898162
Amboseli National Park -  Amboseli Airport (Kenya) (ASV),-0.046164832,0.650189275
Quinto -  Ambri Airport (Switzerland),0.811796286,0.151665272
Amderma -  Amderma Airport (Russia) (AMV),1.217599248,1.074361861
Ameland -  Ameland Airfield (Netherlands),0.932908121,0.099086181
Amendola -  Amendola Air Base (Italy),0.725034223,0.274332597
Americana -  Americana Airport (Brazil),-0.397163638,-0.825006692
Amiens -  Amiens-Glisy Airport (France),0.870448128,0.041662301
Kavala -  Amigdhaleon Airport (Greece),0.715110285,0.424837577
Amilcar Cabral -  Amilcar Cabral International Airport (Cape Verde) (SID),0.292192551,-0.400542591
Amlikon -  Amlikon Glider Airport (Switzerland),0.830326423,0.157908658
Amman -  Amman-Marka International Airport (Jordan) (ADJ),0.558028888,0.628171924
Ammassivik -  Ammassivik Heliport (Greenland),1.057623729,-0.792073088
Amos -  Amos/Magny Airport (Canada) (YEY),0.847600005,-1.365714939
Ampampamena -  Ampampamena Airport (Madagascar) (IVA),-0.235354438,0.848800774
Galoya -  Ampara Airport (Sri Lanka) (ADP),0.128068072,1.424641408
Ampilatwatja -  Ampilatwatja Airport (Australia),-0.377951062,2.360208672
Amsterdam -  Amsterdam Airport Schiphol (Netherlands) (AMS),0.912957315,0.083145566
Anaa -  Anaa Airport (French Polynesia) (AAA),-0.302860006,-2.539628499
Anaco -  Anaco Airport (Venezuela) (AAO),0.164588482,-1.12522644
Eskissehir -  Anadolu Airport (Turkey) (AOE),0.694813795,0.532664016
Anahim Lake -  Anahim Lake Airport (Canada) (YAA),0.915468815,-2.186949937
Anaktuvuk Pass -  Anaktuvuk Pass Airport (United States) (AKP),1.189155622,-2.648414901
Analalava -  Analalava Airport (Madagascar) (HVA),-0.255336429,0.833635601
Anapa -  Anapa Vityazevo Airport (Russia) (AAQ),0.785434848,0.651833378
Ancenis -  Ancenis Airport (France),0.827427439,-0.020551252
Ancona -  Ancona Falconara Airport (Italy) (AOI),0.761248025,0.233216131
Andahuaylas -  Andahuaylas Airport (Peru) (ANS),-0.239221807,-1.280206037
Andapa -  Andapa Airport (Madagascar) (ZWA),-0.255720406,0.866042876
Andernos-Les-Bains -  Andernos Les Bains Airport (France),0.781141305,-0.01855861
