id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
96,Scope 1,Fuels,Liquid fuels,Marine gas oil,,,kWh (Net CV),kg CO2e,0.27446,2024,2024,"DESNZ, UK, 2024",13,
97,Scope 1,Fuels,Liquid fuels,Marine gas oil,,,kWh (Gross CV),kg CO2e,0.25798,2024,2024,"DESNZ, UK, 2024",13,
98,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,,tonnes,kg CO2e,3154.75334,2024,2024,"DESNZ, UK, 2024",13,
99,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,,litres,kg CO2e,3.10202,2024,2024,"DESNZ, UK, 2024",13,
100,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,,kWh (Net CV),kg CO2e,0.27869,2024,2024,"DESNZ, UK, 2024",13,
101,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,,kWh (Gross CV),kg CO2e,0.26196,2024,2024,"DESNZ, UK, 2024",13,
102,Scope 1,Fuels,Solid fuels,Coal (industrial),,,tonnes,kg CO2e,2399.43994,2024,2024,"DESNZ, UK, 2024",13,
103,Scope 1,Fuels,Solid fuels,Coal (industrial),,,kWh (Net CV),kg CO2e,0.34002,2024,2024,"DESNZ, UK, 2024",13,
104,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e of N2O,1.60067,2024,2024,"DESNZ, UK, 2024",13,
105,Scope 1,Fuels,Solid fuels,Coal (industrial),,,kWh (Gross CV),kg CO2e,0.32302,2024,2024,"DESNZ, UK, 2024",13,
106,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,,tonnes,kg CO2e,2262.11448,2024,2024,"DESNZ, UK, 2024",13,
107,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,,kWh (Net CV),kg CO2e,0.33368,2024,2024,"DESNZ, UK, 2024",13,
108,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,,kWh (Gross CV),kg CO2e,0.31699,2024,2024,"DESNZ, UK, 2024",13,
109,Scope 1,Fuels,Solid fuels,Coal (domestic),,,tonnes,kg CO2e,2904.95234,2024,2024,"DESNZ, UK, 2024",13,
110,Scope 1,Fuels,Solid fuels,Coal (domestic),,,kWh (Net CV),kg CO2e,0.36549,2024,2024,"DESNZ, UK, 2024",13,
111,Scope 1,Fuels,Solid fuels,Coal (domestic),,,kWh (Gross CV),kg CO2e,0.34721,2024,2024,"DESNZ, UK, 2024",13,
112,Scope 1,Fuels,Solid fuels,Coking coal,,,tonnes,kg CO2e,3164.65002,2024,2024,"DESNZ, UK, 2024",13,
113,Scope 1,Fuels,Solid fuels,Coking coal,,,kWh (Net CV),kg CO2e,0.37675,2024,2024,"DESNZ, UK, 2024",13,
114,Scope 1,Fuels,Solid fuels,Coking coal,,,kWh (Gross CV),kg CO2e,0.3579,2024,2024,"DESNZ, UK, 2024",13,
115,Scope 1,Fuels,Solid fuels,Petroleum coke,,,tonnes,kg CO2e,3386.57168,2024,2024,"DESNZ, UK, 2024",13,
116,Scope 1,Fuels,Solid fuels,Petroleum coke,,,kWh (Net CV),kg CO2e,0.35886,2024,2024,"DESNZ, UK, 2024",13,
117,Scope 1,Fuels,Solid fuels,Petroleum coke,,,kWh (Gross CV),kg CO2e,0.34092,2024,2024,"DESNZ, UK, 2024",13,
118,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,tonnes,kg CO2e,2258.5867,2024,2024,"DESNZ, UK, 2024",13,
119,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Net CV),kg CO2e,0.33368,2024,2024,"DESNZ, UK, 2024",13,
120,Scope 1,Fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Gross CV),kg CO2e,0.31699,2024,2024,"DESNZ, UK, 2024",13,
121,Scope 1,Refrigerant and other,Kyoto protocol products,PFC-9-1-18,,,kg,kg CO2e,7190,2024,2024,"DESNZ, UK, 2024",13,
122,Scope 1,Bioenergy,Biofuel,Bioethanol,,,litres,kg CO2e,0.00901,2024,2024,"DESNZ, UK, 2024",13,
123,Scope 1,Bioenergy,Biofuel,Bioethanol,,,GJ,kg CO2e,0.42339,2024,2024,"DESNZ, UK, 2024",13,
124,Scope 1,Bioenergy,Biofuel,Bioethanol,,,kg,kg CO2e,0.01135,2024,2024,"DESNZ, UK, 2024",13,
125,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,litres,kg CO2e,0.16751,2024,2024,"DESNZ, UK, 2024",13,
126,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,GJ,kg CO2e,5.05961,2024,2024,"DESNZ, UK, 2024",13,
127,Scope 1,Bioenergy,Biofuel,Biodiesel ME,,,kg,kg CO2e,0.18822,2024,2024,"DESNZ, UK, 2024",13,
128,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),,,GJ,kg CO2e,0.10625,2024,2024,"DESNZ, UK, 2024",13,
129,Scope 1,Bioenergy,Biofuel,Biomethane (compressed),,,kg,kg CO2e,0.00521,2024,2024,"DESNZ, UK, 2024",13,
130,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,litres,kg CO2e,0.16751,2024,2024,"DESNZ, UK, 2024",13,
131,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,GJ,kg CO2e,5.05961,2024,2024,"DESNZ, UK, 2024",13,
132,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from used cooking oil),,,kg,kg CO2e,0.18822,2024,2024,"DESNZ, UK, 2024",13,
133,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),,,litres,kg CO2e,0.16751,2024,2024,"DESNZ, UK, 2024",13,
134,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),,,GJ,kg CO2e,5.05961,2024,2024,"DESNZ, UK, 2024",13,
135,Scope 1,Bioenergy,Biofuel,Biodiesel ME (from tallow),,,kg,kg CO2e,0.18822,2024,2024,"DESNZ, UK, 2024",13,
136,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,litres,kg CO2e,0.03558,2024,2024,"DESNZ, UK, 2024",13,
137,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,GJ,kg CO2e,1.03677,2024,2024,"DESNZ, UK, 2024",13,
138,Scope 1,Bioenergy,Biofuel,Biodiesel HVO,,,kg,kg CO2e,0.04562,2024,2024,"DESNZ, UK, 2024",13,
139,Scope 1,Bioenergy,Biofuel,Biopropane,,,litres,kg CO2e,0.00214,2024,2024,"DESNZ, UK, 2024",13,
140,Scope 1,Bioenergy,Biofuel,Biopropane,,,GJ,kg CO2e,0.08952,2024,2024,"DESNZ, UK, 2024",13,
141,Scope 1,Bioenergy,Biofuel,Biopropane,,,kg,kg CO2e,0.00415,2024,2024,"DESNZ, UK, 2024",13,
142,Scope 1,Bioenergy,Biofuel,Development diesel,,,litres,kg CO2e,0.03705,2024,2024,"DESNZ, UK, 2024",13,
143,Scope 1,Bioenergy,Biofuel,Development diesel,,,GJ,kg CO2e,1.03677,2024,2024,"DESNZ, UK, 2024",13,
144,Scope 1,Bioenergy,Biofuel,Development diesel,,,kg,kg CO2e,0.04461,2024,2024,"DESNZ, UK, 2024",13,
145,Scope 1,Bioenergy,Biofuel,Development petrol,,,litres,kg CO2e,0.01409,2024,2024,"DESNZ, UK, 2024",13,
146,Scope 1,Bioenergy,Biofuel,Development petrol,,,GJ,kg CO2e,0.42339,2024,2024,"DESNZ, UK, 2024",13,
147,Scope 1,Bioenergy,Biofuel,Development petrol,,,kg,kg CO2e,0.01888,2024,2024,"DESNZ, UK, 2024",13,
148,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,litres,kg CO2e,0.16751,2024,2024,"DESNZ, UK, 2024",13,
149,Scope 1,Bioenergy,Biofuel,Off road biodiesel,,,GJ,kg CO2e,5.05961,2024,2024,"DESNZ, UK, 2024",13,
